,Rank,Released,Movie,Total Box Office,url
25,49,2001,Harry Potter and the Sorcerer’s Stone,"$510,437,208",https://www.the-numbers.com/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary
26,50,2001,The Lord of the Rings: The Fellowship of the Ring,"$502,999,394",https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The#tab=summary
27,54,2015,Avengers: Age of Ultron,"$496,031,246",https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
28,55,2009,Transformers: Revenge of the Fallen,"$488,431,885",https://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary
29,57,2002,Star Wars Ep. II: Attack of the Clones,"$487,136,844",https://www.the-numbers.com/movie/Star-Wars-Ep-II-Attack-of-the-Clones#tab=summary
30,59,2010,Toy Story 3,"$479,175,469",https://www.the-numbers.com/movie/Toy-Story-3#tab=summary
31,61,2019,Frozen II,"$477,373,578",https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
32,62,2013,The Hunger Games: Catching Fire,"$475,761,870",https://www.the-numbers.com/movie/Hunger-Games-Catching-Fire-The#tab=summary
33,64,2012,The Hunger Games,"$466,956,955",https://www.the-numbers.com/movie/Hunger-Games-The#tab=summary
34,65,2003,Pirates of the Caribbean: The Curse of the Blac…,"$461,408,382",https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary
35,66,2013,Iron Man 3,"$458,292,689",https://www.the-numbers.com/movie/Iron-Man-3#tab=summary
36,69,2001,"Monsters, Inc.","$449,635,428",https://www.the-numbers.com/movie/Monsters-Inc#tab=summary
37,70,2013,Frozen,"$448,472,628",https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary
38,71,2007,Spider-Man 3,"$445,609,164",https://www.the-numbers.com/movie/Spider-Man-3#tab=summary
39,74,2011,Harry Potter and the Deathly Hallows: Part II,"$437,706,457",https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary
40,76,2019,Toy Story 4,"$434,038,008",https://www.the-numbers.com/movie/Toy-Story-4-(2019)#tab=summary
41,78,2001,Shrek,"$430,801,615",https://www.the-numbers.com/movie/Shrek#tab=summary
42,79,2016,Captain America: Civil War,"$429,785,941",https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary
43,80,2007,Shrek the Third,"$427,322,478",https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary
44,81,2019,Captain Marvel,"$426,829,839",https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary
45,82,2003,The Matrix Reloaded,"$425,365,523",https://www.the-numbers.com/movie/Matrix-Reloaded-The#tab=summary
46,84,2007,Transformers,"$422,722,785",https://www.the-numbers.com/movie/Transformers#tab=summary
47,85,2017,Wonder Woman,"$419,002,525",https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary
48,86,2018,Jurassic World: Fallen Kingdom,"$417,719,764",https://www.the-numbers.com/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary
49,88,2013,Despicable Me 2,"$412,431,819",https://www.the-numbers.com/movie/Despicable-Me-2#tab=summary
